id,code,level_number,name,description,created_at,updated_at
18d9aa75-b08e-4b18-80a5-bc89f1653695,LV3,3,Belanja Level 3,,2026-04-19 05:31:08.226311+00,2026-04-19 05:31:08.226311+00
1fe6be87-876a-4bad-8f48-852b7fd94ce4,LV2,2,Belanja Level 2,,2026-04-19 05:31:08.226311+00,2026-04-19 05:31:08.226311+00
7bab2794-1996-419e-9642-acf2c82619ab,LV5,5,Belanja Level 5,,2026-04-19 05:31:08.226311+00,2026-04-19 05:31:08.226311+00
7f0002e8-6156-4808-a11a-05b8d9354e18,LV1,1,Belanja Level 1,,2026-04-19 05:31:08.226311+00,2026-04-19 05:31:08.226311+00
a5de9eff-296c-4160-8488-3351c9f08b21,LV4,4,Belanja Level 4,,2026-04-19 05:31:08.226311+00,2026-04-19 05:31:08.226311+00
