fiscal_year_id,sub_activity_id,sub_activity_code,sub_activity_name,budget_account_id,budget_account_code,budget_account_name,annual_realization,jan_amount,feb_amount,mar_amount,apr_amount,may_amount,jun_amount,jul_amount,aug_amount,sep_amount,oct_amount,nov_amount,dec_amount,q1_amount,q2_amount,q3_amount,q4_amount,s1_amount,s2_amount
03edd7f7-0ac4-4506-9746-64a90011c554,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,55b7881d-dea1-4da4-adbd-d847681238af,5.1.02.04.001.00001,Belanja Jandin Biasa,7140600.00,0,7140600.00,0,0,0,0,0,0,0,0,0,0,7140600.00,0,0,0,7140600.00,0
03edd7f7-0ac4-4506-9746-64a90011c554,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,6344eecb-6808-41ca-9e0c-52eebd4d787f,5.1.02.01.001.00004,Belanja BBM & Pelumas,1041600.00,0,1041600.00,0,0,0,0,0,0,0,0,0,0,1041600.00,0,0,0,1041600.00,0
