rak_version_id,fiscal_year_id,rak_code,rak_date,rak_sub_activity_id,sub_activity_id,sub_activity_code,sub_activity_name,sub_activity_status_code,sub_activity_status_name,annual_amount,jan_amount,feb_amount,mar_amount,apr_amount,may_amount,jun_amount,jul_amount,aug_amount,sep_amount,oct_amount,nov_amount,dec_amount,q1_amount,q2_amount,q3_amount,q4_amount,s1_amount,s2_amount
2eca0473-b1c0-44f2-9e90-daff74de35ed,03edd7f7-0ac4-4506-9746-64a90011c554,RAK-20260102,2026-01-02,1bb60048-c6b2-4882-b20c-943d97cfb76b,20c37984-ba11-43de-b35c-b2bc8ac2db92,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,BARU,Baru,50000000.00,1500000.00,1195400.00,20704000.00,1500000.00,13018400.00,1200000.00,5782200.00,1500000.00,1500000.00,900000.00,1200000.00,0.00,23399400.00,15718400.00,8782200.00,2100000.00,39117800.00,10882200.00
2eca0473-b1c0-44f2-9e90-daff74de35ed,03edd7f7-0ac4-4506-9746-64a90011c554,RAK-20260102,2026-01-02,2b3d8656-c8dd-499e-af67-7360193911f1,be6c363b-a502-4cea-b8cd-e2344baa3220,SUB-04,Pembangunan Sumber Benih,BARU,Baru,25632000.00,0.00,5632000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,4000000.00,0.00,7632000.00,6000000.00,6000000.00,6000000.00,13632000.00,12000000.00
2eca0473-b1c0-44f2-9e90-daff74de35ed,03edd7f7-0ac4-4506-9746-64a90011c554,RAK-20260102,2026-01-02,3528faca-3b3a-4bbc-a691-a402df7fc9d0,d37fe840-fbd1-4259-a85a-f1a55b52b0eb,SUB-03,Pembinaan & Pengawasan PBPHH,BARU,Baru,3900000.00,0.00,510000.00,390000.00,0.00,1200000.00,0.00,1200000.00,0.00,0.00,600000.00,0.00,0.00,900000.00,1200000.00,1200000.00,600000.00,2100000.00,1800000.00
2eca0473-b1c0-44f2-9e90-daff74de35ed,03edd7f7-0ac4-4506-9746-64a90011c554,RAK-20260102,2026-01-02,8984b133-abe6-4f27-8c28-74ad8ea466f8,e8db6ce7-0b6d-4edb-86b2-36230a87b996,SUB-01,Penyusunan Rencana Pengelolaan KPH,BARU,Baru,62645200.00,9051100.00,11811400.00,9690600.00,14940600.00,7740600.00,1041600.00,3600000.00,2082800.00,0.00,2686500.00,0.00,0.00,30553100.00,23722800.00,5682800.00,2686500.00,54275900.00,8369300.00
