id,program_id,code,name,description,status_id,priority_id,start_date,end_date,created_by,approved_by,approved_at,created_at,updated_at
1cc00ecd-7b27-4a03-a908-373acdf3a06f,a7f7451e-3ab2-49da-89f7-bf55a7fe8c5b,KEG-02,PEMANFAATAN HUTAN DI KAWASAN HUTAN PRODUKSI DAN HUTAN LINDUNG,,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,,,2026-04-04 04:49:31.229081+00,2026-04-04 04:49:31.229081+00
4c6f1074-fc51-4499-b96b-b2b64258bd2a,a7f7451e-3ab2-49da-89f7-bf55a7fe8c5b,KEG-01,RENCANA PENGELOLAAN KESATUAN PENGELOLAAN HUTAN KECUALI PADA KESATUAN PENGELOLAAN HUTAN KONSERVASI (KPHK),,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,,,2026-04-02 14:11:12.002942+00,2026-04-02 14:11:12.002942+00
4dc8313d-1811-4b3d-bad7-af8256e1ddce,a7f7451e-3ab2-49da-89f7-bf55a7fe8c5b,KEG-03,PELAKSANAAN PENGOLAHAN HASIL HUTAN KAYU DENGAN KAPASITAS PRODUKSI <6000 M3/TAHUN,,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,,,2026-04-05 17:42:36.988644+00,2026-04-05 17:42:36.988644+00
f60f587c-c184-4d72-a758-eeae4b7cd98e,a7f7451e-3ab2-49da-89f7-bf55a7fe8c5b,KEG-04,PERBENIHAN TANAMAN HUTAN,,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,,,2026-04-04 04:49:31.229081+00,2026-04-04 04:49:31.229081+00
fe94ae5a-71d0-4f4b-8d08-61b00e83c53d,90888601-a038-44db-a354-8d3d0c846b65,KEG-05,PENDUKUNG DAN PELAYANAN TEKNIS/ADMINISTRASI,,96922268-63d4-45eb-a9f0-62121763aafa,022ca37b-cd48-4afa-bf2b-cfd199bd9568,,,,,,2026-04-07 03:26:34.95327+00,2026-04-07 03:26:34.95327+00
