id,activity_id,code,name,description,status_id,priority_id,output_unit_id,start_date,end_date,output_target,created_by,approved_by,approved_at,created_at,updated_at,output_unit
20c37984-ba11-43de-b35c-b2bc8ac2db92,1cc00ecd-7b27-4a03-a908-373acdf3a06f,SUB-02,Koordinasi & Sinkronisasi Pengendalian PBPH,Koordinasi dan Sinkronisasi Pengendalian Perizinan Berusaha Pemanfaatan Hutan di Kawasan Hutan Produksi,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,1,,,,2026-04-04 04:49:31.229081+00,2026-04-04 04:49:31.229081+00,Dokumen
819c03d2-b1e2-42b3-b289-07dc348e974b,fe94ae5a-71d0-4f4b-8d08-61b00e83c53d,SUB-05,Pendukung & Pelayanan Teknis/Administrasi,Pendukung dan Pelayanan Teknis/Administrasi,96922268-63d4-45eb-a9f0-62121763aafa,022ca37b-cd48-4afa-bf2b-cfd199bd9568,,,,1,,,,2026-04-07 03:30:10.891092+00,2026-04-07 03:30:10.891092+00,Tahun
be6c363b-a502-4cea-b8cd-e2344baa3220,f60f587c-c184-4d72-a758-eeae4b7cd98e,SUB-04,Pembangunan Sumber Benih,,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,0.5,,,,2026-04-04 04:49:31.229081+00,2026-04-04 04:49:31.229081+00,Hektar
d37fe840-fbd1-4259-a85a-f1a55b52b0eb,4dc8313d-1811-4b3d-bad7-af8256e1ddce,SUB-03,Pembinaan & Pengawasan PBPHH,Pembinaan dan Pengawasan PBPHH (Kayu dan/atau HHBK) skala kecil dan menengah yang menjadi kewenangan provinsi,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,12,,,,2026-04-05 17:44:45.506933+00,2026-04-05 17:44:45.506933+00,Laporan
e8db6ce7-0b6d-4edb-86b2-36230a87b996,4c6f1074-fc51-4499-b96b-b2b64258bd2a,SUB-01,Penyusunan Rencana Pengelolaan KPH,Penyusunan Rencana Pengelolaan Kesatuan Pengelolaan Hutan,96922268-63d4-45eb-a9f0-62121763aafa,2a374a81-d00d-4c4b-a22f-0845c868d483,,,,2,,,,2026-04-02 14:11:12.002942+00,2026-04-02 14:11:12.002942+00,Dokumen
